code,id,first_name,second_name,web_name,selected_by_percent,team,team_code,status,news
191866,108,Kristoffer,Ajer,Ajer,0.2,5,94,a,
194010,109,Rico,Henry,Henry,0.1,5,94,a,
607464,110,Michael,Kayode,Kayode,0.4,5,94,a,
231065,111,Ethan,Pinnock,Pinnock,0.1,5,94,a,
226956,112,Mads,Roerslev Rasmussen,Roerslev,0.0,5,94,u,Has joined Southampton permanently.
444765,113,Sepp,van den Berg,Van den Berg,0.6,5,94,a,
622536,114,Benjamin,Arthur,Arthur,0.2,5,94,i,Knee injury - Expected back 09 Nov
612534,115,Benjamin,Fredrick,Fredrick,0.1,5,94,u,has joined Dender on loan for the rest of the season.
472713,116,Aaron,Hickey,Hickey,0.3,5,94,a,
570241,117,Kim,Ji-soo,Ji-soo,0.1,5,94,u,has joined Kaiserslautern on loan for the rest of the season.
499717,118,Jayden,Meghoma,Meghoma,0.1,5,94,u,Has joined Rangers on loan for the rest of the season.
513418,120,Kevin,Schade,Schade,0.7,5,94,a,
440089,121,Mikkel,Damsgaard,Damsgaard,0.6,5,94,a,
543295,122,Antoni,Milambo,Milambo,0.0,5,94,i,Knee injury - Expected back 01 Jun
244858,123,Fábio,Freitas Gouveia Carvalho,Carvalho,0.2,5,94,a,
56979,124,Jordan,Henderson,Henderson,0.4,5,94,a,
204580,125,Vitaly,Janelt,Janelt,0.0,5,94,a,
207283,126,Mathias,Jensen,Jensen,0.1,5,94,a,
626464,127,Gustavo,Nunes Fernandes Gomes,Nunes,0.0,5,94,a,
428580,128,Frank,Onyeka,Onyeka,0.1,5,94,a,
508395,129,Yehor,Yarmoliuk,Yarmoliuk,0.1,5,94,a,
606689,130,Romelle,Donovan,Donovan,0.1,5,94,a,
628204,131,Yunus Emre,Konak,Konak,0.2,5,94,a,
220695,132,Paris,Maghoma,Maghoma,0.0,5,94,a,
450539,133,Myles,Peart-Harris,Peart-Harris,0.0,5,94,a,
591357,134,Ryan,Trevitt,Trevitt,0.0,5,94,u,Has joined Wigan on loan for the rest of the season
502500,136,Igor Thiago,Nascimento Rodrigues,Thiago,7.6,5,94,a,
533710,137,Iwan,Morgan,Morgan,0.4,5,94,a,
49262,138,Jason,Steele,Steele,0.3,6,36,a,
489639,139,Bart,Verbruggen,Verbruggen,4.1,6,36,a,
209288,140,Tom,McGill,McGill,0.3,6,36,a,
472739,141,Carl,Rushworth,Rushworth,0.0,6,36,u,Has joined Coventry City on loan for the rest of the season.
240514,142,Kjell,Scherpen,Scherpen,0.0,6,36,u,Has joined Union SG permanently
204120,143,Olivier,Boscagli,Boscagli,0.1,6,36,a,
550090,144,Diego,Coppola,Coppola,0.1,6,36,a,
465730,145,Maxim,De Cuyper,De Cuyper,2.1,6,36,a,
83299,146,Lewis,Dunk,Dunk,1.2,6,36,a,
204214,147,Pervis,Estupiñán Tenorio,Estupiñan,0.0,6,36,u,Has joined AC Milan permanently
231416,148,Ferdi,Kadıoğlu,F.Kadıoğlu,0.2,6,36,a,
232792,150,Tariq,Lamptey,Lamptey,0.1,6,36,u,has joined Fiorentina permanently.
469142,151,Jan Paul,van Hecke,Van Hecke,1.3,6,36,a,
111478,152,Joël,Veltman,Veltman,0.1,6,36,d,Calf injury - 25% chance of playing
110735,153,Adam,Webster,Webster,0.0,6,36,i,Knee injury - Unknown return date
439135,154,Eiran,Cashin,Cashin,0.0,6,36,u,Has joined Birmingham on loan for the rest of the season.
589100,155,Jacob,Slater,Slater,0.1,6,36,u,has joined Harrogate Town on loan until January.
547720,156,Charlie,Tasker,Tasker,0.1,6,36,a,
451340,157,Mitoma,Kaoru,Mitoma,2.5,6,36,d,Knock - 25% chance of playing
463067,158,Georginio,Rutter,Georginio,0.4,6,36,a,
109345,159,Solly,March,March,0.0,6,36,i,Knee injury - Unknown return date
592031,160,Yankuba,Minteh,Minteh,4.0,6,36,a,
474120,161,Julio,Enciso Espínola,Enciso,0.0,6,36,u,has joined Strasbourg permanently.
513433,162,Brajan,Gruda,Gruda,0.1,6,36,d,Knee injury - 25% chance of playing
532529,163,Jack,Hinshelwood,Hinshelwood,0.0,6,36,i,Ankle injury - Unknown return date
219249,164,Matt,O'Riley,O'Riley,0.4,6,36,u,has joined Marseille on loan for the rest of the season.
516211,165,Abdallah,Sima,Sima,0.0,6,36,u,has joined Lens permanently.
509416,166,Yasin,Ayari,Ayari,0.3,6,36,a,
535301,167,Carlos,Baleba,Baleba,2.1,6,36,a,
514254,169,Diego,Gómez Amarilla,Gomez,0.1,6,36,a,
15157,170,James,Milner,Milner,0.1,6,36,d,Muscle injury - 25% chance of playing
441192,171,Jeremy,Sarmiento Morante,Sarmiento,0.0,6,36,u,has joined Cremonese on loan for the rest of the season.
549074,172,Tom,Watson,Watson,0.0,6,36,a,
467779,173,Mats,Wieffer,Wieffer,0.1,6,36,a,
611695,174,Malick,Yalcouyé,Yalcouye,0.0,6,36,u,Has joined Swansea City on loan for the rest of the season.
567121,175,Joe,Knight,Knight,0.1,6,36,a,
550141,176,Adrian,Mazilu,Mazilu,0.0,6,36,u,has joined Dinamo Bucharest permanently.
513834,177,Andrew,Moran,Moran,0.0,6,36,u,Has joined Los Angeles FC on loan for the rest of the season.
50175,178,Danny,Welbeck,Welbeck,6.7,6,36,a,
487117,179,Evan,Ferguson,Ferguson,0.0,6,36,u,Has joined AS Roma on loan for the rest of the season
608181,180,Stefanos,Tzimas,Tzimas,0.1,6,36,a,
647850,181,Charalampos,Kostoulas,Kostoulas,0.3,6,36,a,
556637,744,Nehemiah,Oriola,Oriola,0.0,6,36,a,
536916,168,Facundo,Buonanotte,Buonanotte,0.1,7,8,a,
215059,220,Robert,Lynch Sánchez,Sánchez,13.6,7,8,a,
508479,221,Filip,Jörgensen,Jörgensen,0.2,7,8,a,
549939,222,Mike,Penders,Penders,0.0,7,8,u,Has joined RC Strasbourg on loan for the rest of the season.
471798,223,Gabriel,Słonina,Slonina,0.1,7,8,a,
179268,224,Marc,Cucurella Saseta,Cucurella,21.9,7,8,a,
225796,225,Reece,James,James,7.5,7,8,a,
180736,226,Trevoh,Chalobah,Chalobah,7.6,7,8,a,
460028,227,Levi,Samuels Colwill,Colwill,0.1,7,8,i,Anterior cruciate ligament - Unknown return date
482609,228,Malo,Gusto,Gusto,1.0,7,8,a,
242880,229,Benoît,Badiashile Mukinayi,B.Badiashile,0.0,7,8,i,Muscle injury - Expected back 03 Dec
444463,230,Wesley,Fofana,Fofana,0.2,7,8,a,
574458,231,Mamadou,Sarr,M.Sarr,0.0,7,8,u,Has joined RC Strasbourg on loan for the rest of the season.
109646,232,Tosin,Adarabioyo,Tosin,0.4,7,8,a,
577016,233,Josh,Acheampong,Acheampong,2.2,7,8,a,
622758,234,Aarón,Anselmino,Anselmino,0.1,7,8,u,has joined Borussia Dortmund on loan for the rest of the season.
244851,235,Cole,Palmer,Palmer,9.4,7,8,i,Groin Injury - Expected back 22 Nov
247632,236,Pedro,Lomba Neto,Neto,5.5,7,8,a,
448047,237,Enzo,Fernández,Enzo,14.5,7,8,a,
624773,238,Estêvão,Almeida de Oliveira Gonçalves,Estêvão,2.4,7,8,a,
463936,239,Jamie,Bynoe-Gittens,Gittens,0.1,7,8,a,
213198,240,Christopher,Nkunku,Nkunku,0.1,7,8,u,has joined AC Milan permanently.
486672,241,Moisés,Caicedo Corozo,Caicedo,18.2,7,8,a,
550615,243,Tyrique,George,George,0.1,7,8,a,
514356,244,Roméo,Lavia,Lavia,0.0,7,8,a,
465920,245,Mykhailo,Mudryk,Mudryk,0.0,7,8,s,Suspended - unknown return date
532605,246,Andrey,Nascimento dos Santos,Andrey Santos,0.3,7,8,a,
491007,247,Dário,Luís Essugo,D.Essugo,0.1,7,8,i,Thigh injury - Unknown return date
611134,248,Kendry,Páez Andrade,Paez,0.0,7,8,u,Has joined RC Strasbourg on loan for the rest of the season.
475168,249,João Pedro,Junqueira de Jesus,João Pedro,47.4,7,8,a,
463034,250,Liam,Delap,Delap,0.9,7,8,s,Suspended until 08 Nov
517052,251,Nicolas,Jackson,N.Jackson,0.1,7,8,u,has joined Bayern Munich on loan for the rest of the season.
499309,252,Marc,Guiu Paz,Marc Guiu,7.0,7,8,a,
493105,453,Alejandro,Garnacho Ferreyra,Garnacho,0.4,7,8,a,
551210,672,Jorrel,Hato,Hato,0.2,7,8,a,
611912,743,Landon,Emenalo,Emenalo,0.0,7,8,a,
172649,253,Dean,Henderson,Henderson,7.5,8,31,a,
121709,254,Walter,Benítez,Benitez,0.3,8,31,a,
169593,255,Remi,Matthews,Matthews,0.1,8,31,a,
247348,256,Daniel,Muñoz Mejía,Muñoz,14.8,8,31,a,
437499,257,Maxence,Lacroix,Lacroix,3.7,8,31,a,
244723,258,Tyrick,Mitchell,Mitchell,2.3,8,31,a,
218364,259,Borna,Sosa,Sosa,0.1,8,31,a,
209036,260,Marc,Guéhi,Guéhi,33.1,8,31,a,
427623,261,Chris,Richards,Richards,3.2,8,31,a,
515621,262,Chadi,Riad Dnanou,Chadi Riad,0.0,8,31,i,Knee injury - Expected back 09 Nov
57328,263,Nathaniel,Clyne,Clyne,0.5,8,31,a,
156074,264,Rob,Holding,Holding,0.0,8,31,u,Has joined Colorado Rapids permanently.
590012,265,Caleb,Kporha,Kporha,0.0,8,31,i,Back injury - Unknown return date
232185,267,Ismaïla,Sarr,Sarr,10.4,8,31,a,
438464,268,Cheick,Doucouré,Doucouré,0.0,8,31,i,Knee injury - Unknown return date
606921,269,Romain,Esse,Esse,0.1,8,31,a,
108413,270,Will,Hughes,Hughes,0.1,8,31,a,
209400,271,Daichi,Kamada,Kamada,0.1,8,31,a,
152551,272,Jefferson,Lerma Solís,Lerma,0.1,8,31,a,
496221,273,Adam,Wharton,Wharton,0.5,8,31,i,Illness - Expected back 09 Nov
579075,274,Asher,Agbinone,Agbinone,0.1,8,31,a,
466117,275,Naouirou,Ahamada,Ahamada,0.0,8,31,a,
489706,276,Justin,Devenny,Devenny,1.1,8,31,a,
450535,277,Malcolm,Ebiowei,Ebiowei,0.0,8,31,u,Has joined Blackpool permanently.
450542,278,Jesurun,Rak-Sakyi,J.Rak-Sakyi,0.0,8,31,u,has joined Caykur Rizespor on loan for the rest of the season.
536694,279,Matheus,França de Oliveira,M.França,0.0,8,31,u,Has joined CR Vasco da Gama on loan for the rest of the season.
531989,280,David,Ozoh,Ozoh,0.0,8,31,u,Has joined Derby County on loan for the rest of the season.
530318,281,Kaden,Rodney,Rodney,0.0,8,31,a,
574398,282,Franco,Umeh-Chibueze,Umeh,0.0,8,31,u,has joined Portsmouth permanently.
231747,283,Jean-Philippe,Mateta,Mateta,19.3,8,31,a,
205533,284,Eddie,Nketiah,Nketiah,0.5,8,31,i,Hamstring injury - Expected back 22 Nov
199670,285,Odsonne,Édouard,Édouard,0.3,8,31,u,has joined RC Lens permanently.
576980,286,Zach,Marsh,Marsh,0.3,8,31,a,
590014,690,Rio,Cardines,Cardines,0.4,8,31,a,
488024,712,Yéremy,Pino Santos,Yeremy,0.1,8,31,a,
651426,723,Jaydee,Canvot,Canvot,0.0,8,31,a,
660392,732,Christantus,Uche,Uche,0.0,8,31,a,
215413,242,Kiernan,Dewsbury-Hall,Dewsbury-Hall,3.0,9,11,a,
111234,287,Jordan,Pickford,Pickford,9.8,9,11,a,
229600,288,Mark,Travers,Travers,0.1,9,11,a,
447325,289,Harry,Tyrer,Tyrer,0.1,9,11,a,
480455,290,Jarrad,Branthwaite,Branthwaite,0.2,9,11,i,Hamstring injury - Unknown return date
17761,291,James,Tarkowski,Tarkowski,6.5,9,11,a,
224967,292,Vitalii,Mykolenko,Mykolenko,0.4,9,11,a,
512462,293,Jake,O'Brien,O'Brien,0.4,9,11,a,
59949,294,Séamus,Coleman,Coleman,0.1,9,11,a,
106611,295,Michael,Keane,Keane,1.1,9,11,a,
243571,296,Nathan,Patterson,Patterson,0.0,9,11,i,Foot injury - Expected back 23 Nov
496178,297,Roman,Dixon,Dixon,0.2,9,11,a,
474907,298,Reece,Welch,Welch,0.1,9,11,a,
440993,299,Iliman,Ndiaye,Ndiaye,11.1,9,11,a,
433154,300,Dwight,McNeil,McNeil,0.1,9,11,a,
502697,301,Carlos,Alcaraz Durán,Alcaraz,0.1,9,11,a,
80801,302,Idrissa Gana,Gueye,Gana,0.1,9,11,a,
232928,303,James,Garner,Garner,0.9,9,11,a,
490094,304,Tim,Iroegbunam,Iroegbunam,0.0,9,11,a,
609873,305,Harrison,Armstrong,Armstrong,0.1,9,11,u,has joined Preston North End on loan for the rest of the season.
547801,306,Callum,Bates,Bates,0.1,9,11,a,
504296,307,Coby,Ebere,Ebere,0.0,9,11,a,
496279,308,Isaac,Heath,Heath,0.0,9,11,u,has joined Accrington on loan for the rest of the season.
491557,309,Jenson,Metcalfe,Metcalfe,0.0,9,11,u,Has joined Bradford City permanently.
586309,310,Thierno,Barry,Barry,0.3,9,11,a,
486385,311,Norberto Bercique,Gomes Betuncal,Beto,3.4,9,11,a,
491012,312,Youssef,Ramalho Chermiti,Y.Chermiti,0.1,9,11,u,has joined Rangers permanently.
536241,313,Martin,Sherif,Sherif,0.1,9,11,u,has joined Rotherham United on loan for the rest of the season.
114283,419,Jack,Grealish,Grealish,17.9,9,11,a,
138001,630,Tom,King,King,1.2,9,11,a,
499300,667,Adam,Aznou,Aznou,0.1,9,11,a,
461446,704,Tyler,Onyango,Onyango,0.1,9,11,u,has joined Stockport County on loan for the rest of the season.
491745,705,Elijah,Campbell,Campbell,0.2,9,11,a,
496661,707,Tyler,Dibling,Dibling,0.0,9,11,a,
513466,728,Merlin,Röhl,Röhl,0.0,9,11,a,
80201,314,Bernd,Leno,Leno,1.6,10,54,a,
428971,315,Steven,Benda,Benda,0.0,10,54,u,Has joined Millwall on loan for the rest of the season.
169528,316,Antonee,Robinson,Robinson,0.5,10,54,i,Knee injury - Unknown return date
174874,317,Joachim,Andersen,Andersen,2.7,10,54,a,
232892,318,Calvin,Bassey,Bassey,0.6,10,54,a,
166477,319,Timothy,Castagne,Castagne,0.1,10,54,a,
219924,320,Issa,Diop,Diop,0.1,10,54,a,
246301,321,Jorge,Cuenca Barreno,J.Cuenca,0.0,10,54,a,
167074,322,Kenny,Tete,Tete,0.2,10,54,a,
591385,323,Samuel,Amissah,Amissah,0.1,10,54,a,
153133,324,Alex,Iwobi,Iwobi,1.7,10,54,a,
209289,325,Emile,Smith Rowe,Smith Rowe,0.4,10,54,d,Hamstring injury - 75% chance of playing
159533,326,Adama,Traoré Diarra,Adama,0.2,10,54,a,
156689,327,Andreas,Hoelgebaum Pereira,Andreas,0.1,10,54,u,has joined Palmeiras permanently.
184349,328,Ryan,Sessegnon,Sessegnon,0.2,10,54,a,
153682,329,Harry,Wilson,Wilson,0.3,10,54,d,Knock - 75% chance of playing
207189,330,Sander,Berge,Berge,0.1,10,54,a,
76357,331,Tom,Cairney,Cairney,0.0,10,54,a,
212314,332,Saša,Lukić,Lukić,0.1,10,54,a,
573062,333,Martial,Godo,Godo,0.0,10,54,u,has joined Strasbourg permanently.
515024,334,Luke,Harris,Harris,0.0,10,54,u,Has joined Oxford United on loan for the rest of the season.
577725,335,Josh,King,King,4.0,10,54,a,
153366,336,Harrison,Reed,Reed,0.2,10,54,a,
102057,337,Raúl,Jiménez Rodríguez,Raúl,0.9,10,54,d,Hip injury - 75% chance of playing
244042,338,Rodrigo,Muniz Carvalho,Muniz,1.0,10,54,d,Hamstring injury - 75% chance of playing
86873,664,Benjamin,Lecomte,Lecomte,0.6,10,54,a,
218328,727,Samuel,Chukwueze,Chukwueze,0.0,10,54,d,Calf injury - 75% chance of playing
560552,731,Kevin,Santos Lopes de Macedo,Kevin,0.1,10,54,a,
631786,737,Jonah,Kusi-Asare,Kusi-Asare,0.1,10,54,a,
437495,339,Illan,Meslier,Meslier,0.4,11,2,a,
97846,340,Alex,Cairns,Cairns,0.2,11,2,a,
59735,341,Karl,Darlow,Darlow,2.4,11,2,a,
226182,342,Jayden,Bogle,Bogle,0.2,11,2,a,
222694,343,Pascal,Struijk,Struijk,0.3,11,2,a,
434752,344,Jaka,Bijol,Bijol,0.1,11,2,a,
437738,345,Sebastiaan,Bornauw,Bornauw,0.1,11,2,a,
113564,346,Sam,Byram,Byram,0.2,11,2,a,
243526,347,Gabriel,Gudmundsson,Gudmundsson,4.9,11,2,a,
214225,348,Joe,Rodon,Rodon,6.4,11,2,a,
492368,349,Isaac,Schmidt,Schmidt,0.1,11,2,u,has joined Werder Bremen on loan for the rest of the season.
427637,350,Brenden,Aaronson,Aaronson,0.2,11,2,a,
492859,351,Wilfried,Gnonto,Gnonto,0.1,11,2,a,
221399,352,Jack,Harrison,Harrison,0.1,11,2,a,
200617,353,Daniel,James,James,0.1,11,2,a,
199598,354,Ethan,Ampadu,Ampadu,0.1,11,2,a,
248937,355,Sam,Greenwood,Greenwood,0.0,11,2,u,has joined Pogon Szczecin permanently.
486520,356,Ilia,Gruev,Gruev,0.0,11,2,a,
433952,357,Largie,Ramazani,Ramazani,0.0,11,2,u,has joined Valencia on loan for the rest of the season.
